temperature,time,stoichiometry,production_rate_(g/hr),yield,priority,round
120,19,0.605,PENDING,PENDING,0.0,PENDING
120,19,0.58,PENDING,PENDING,0.0,PENDING
120,19,0.555,PENDING,PENDING,0.0,PENDING
120,19,0.53,PENDING,PENDING,0.0,PENDING
120,19,0.505,PENDING,PENDING,0.0,PENDING
120,19,0.48,PENDING,PENDING,0.0,PENDING
120,19,0.455,PENDING,PENDING,0.0,PENDING
120,19,0.43,PENDING,PENDING,0.0,PENDING
120,19,0.405,PENDING,PENDING,0.0,PENDING
120,19,0.38,PENDING,PENDING,0.0,PENDING
120,19,0.355,PENDING,PENDING,0.0,PENDING
120,19,0.33,PENDING,PENDING,0.0,PENDING
120,17,0.655,PENDING,PENDING,0.0,PENDING
120,17,0.63,PENDING,PENDING,0.0,PENDING
120,17,0.605,PENDING,PENDING,0.0,PENDING
120,17,0.58,PENDING,PENDING,0.0,PENDING
120,17,0.555,PENDING,PENDING,0.0,PENDING
120,17,0.53,PENDING,PENDING,0.0,PENDING
120,17,0.505,PENDING,PENDING,0.0,PENDING
120,17,0.48,PENDING,PENDING,0.0,PENDING
120,17,0.455,PENDING,PENDING,0.0,PENDING
120,17,0.43,PENDING,PENDING,0.0,PENDING
120,17,0.405,PENDING,PENDING,0.0,PENDING
120,17,0.38,PENDING,PENDING,0.0,PENDING
120,17,0.355,PENDING,PENDING,0.0,PENDING
120,17,0.33,PENDING,PENDING,0.0,PENDING
120,15,0.655,PENDING,PENDING,0.0,PENDING
120,15,0.63,PENDING,PENDING,0.0,PENDING
120,15,0.605,PENDING,PENDING,0.0,PENDING
120,15,0.58,PENDING,PENDING,0.0,PENDING
120,15,0.555,PENDING,PENDING,0.0,PENDING
120,15,0.53,PENDING,PENDING,0.0,PENDING
120,15,0.505,PENDING,PENDING,0.0,PENDING
120,15,0.48,PENDING,PENDING,0.0,PENDING
120,15,0.455,PENDING,PENDING,0.0,PENDING
120,15,0.43,PENDING,PENDING,0.0,PENDING
120,15,0.405,PENDING,PENDING,0.0,PENDING
120,15,0.38,PENDING,PENDING,0.0,PENDING
120,15,0.355,PENDING,PENDING,0.0,PENDING
120,15,0.33,PENDING,PENDING,0.0,PENDING
120,13,0.655,PENDING,PENDING,0.0,PENDING
120,13,0.63,PENDING,PENDING,0.0,PENDING
120,13,0.605,PENDING,PENDING,0.0,PENDING
120,13,0.58,PENDING,PENDING,0.0,PENDING
120,13,0.555,PENDING,PENDING,0.0,PENDING
120,13,0.53,PENDING,PENDING,0.0,PENDING
120,13,0.505,PENDING,PENDING,0.0,PENDING
120,13,0.48,PENDING,PENDING,0.0,PENDING
120,13,0.455,PENDING,PENDING,0.0,PENDING
120,13,0.43,PENDING,PENDING,0.0,PENDING
120,13,0.405,PENDING,PENDING,0.0,PENDING
120,13,0.38,PENDING,PENDING,0.0,PENDING
120,13,0.355,PENDING,PENDING,0.0,PENDING
120,13,0.33,PENDING,PENDING,0.0,PENDING
120,11,0.655,PENDING,PENDING,0.0,PENDING
120,11,0.63,PENDING,PENDING,0.0,PENDING
120,11,0.605,PENDING,PENDING,0.0,PENDING
120,11,0.58,PENDING,PENDING,0.0,PENDING
120,11,0.555,PENDING,PENDING,0.0,PENDING
120,11,0.53,PENDING,PENDING,0.0,PENDING
120,11,0.505,PENDING,PENDING,0.0,PENDING
120,11,0.48,PENDING,PENDING,0.0,PENDING
120,11,0.455,PENDING,PENDING,0.0,PENDING
120,11,0.43,PENDING,PENDING,0.0,PENDING
